key,nickname
3753,BulahBots!
3755,Dragon Robotics
3756,RamFerno
3759,SMARTBOTS
3760,AeroBots
3767,Titans
3770,BlitzCreek
3773,Arrowhead Robotics
3777,Bean City Bots
3786,Chargers
3792,Army Ants
3793,CyberTitans
3794,Prepa Tecmilenio WinT
3799,Electric Fire
3802,✨RoboPOP✨
3807,Overland BlazerBots
3814,PiBotics
3815,NF Raiders
3821,Pirabots
3822,Neon Krakens
3824,HVA RoHAWKtics
3826,"Sequim Robotics Federation ""SRF"""
3834,Crab-bots
3835,Vulcan
3838,Roc City Robotix
3843,ROBO RACERS
3847,Spectrum   -△◅
3848,Bots in Shining Armour
3853,Pridetronics
3859,Wolfpack Robotics
3863,Pantherbotics
3865,Riley WildBots
3871,Trojan Robotics #3871
3875,Red Storm Robotics
3876,Mabton LugNutz
3880,Tiki Techs
3881,WHEA Sharkbots
3882,Lunas
3883,Data Bits
3890,Breaking Away
3925,Circuit of Life
3926,MPArors
3928,Team Neutrino
3931,Cockadoodle Dominators
3932,The Dirty Mechanics
3933,PrepaTec - Taman Keet
3936,RoboBlitz 3936
3937,Breakaway
3939,Botetourt 4-H Robotics
3940,CyberTooth
3944,All Knights
3947,The Last Crusaders
3950,RoboGym Robotics
3951,SUITS
3952,Troy Robotics
3954,4-H Electrotechs
